record_id,cluster_id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id,id
3872,1,joshua,linnell,2.0,lambrigg street,craigie lea garden,balwyn north,3185,qld,19260812.0,7096343,4205
4333,1,joshua,linnell,2.0,lambrigg street,craigie lm agarden,balwyn north,3185,qld,19480511.0,7096343,24747
30,1,joshua,linnell,2.0,lambrigg treet,craigie ela garden,rowville,3185,qld,19480511.0,7096343,29662
31,1,joshua,linnell,2.0,lambrigg street,craigie lea garden,balwyn north,3185,qld,19480511.0,7096343,80175
0,---,---,---,---,---,---,---,---,---,---,---,---
17,2,andrew,klander,20.0,newman morris circuit,the willows,homebush,2285,vic,19761017.0,5392569,69936
42,2,andrew,klander,20.0,newman morois circuit,the willows,homebush,2285,vic,19761017.0,5392569,15812
0,---,---,---,---,---,---,---,---,---,---,---,---
35,3,stella,chandler,50.0,ebden street,rosetta village,coffs harbour,6304,vic,19741215.0,8164610,9247
46,3,stella,chandler,50.0,ebden street,rosetta vlilage,coffs harbour,6304,vic,19741215.0,8587561,47668
820,3,stella,chandker,50.0,ebden street,rosetta village,harbord,6304,vic,19741215.0,8164610,87729
2773,3,stella,chandler,50.0,ebdenstreet,rosettavillage,coffs harbour,6304,vic,19741215.0,8164610,19755
600,3,stella,chandler,50.0,letters street,rosetta ivllage,coffs harbour,6304,vic,19741215.0,8164610,85445
1210,3,stella,chandler,50.0,ebden s treet,rosettamvillage,coffs harbour,6304,vic,19741215.0,8164610,99670
0,---,---,---,---,---,---,---,---,---,---,---,---
27,4,rily,gloster,24.0,farrerplace,,frankston,3178,nsw,19590124.0,2526809,66425
1679,4,gloster,mia,24.0,farrer poace,,frankston,3718,nsw,19590124.0,2526809,17152
59,4,riley,gloster,24.0,farrer place,,frankston,3178,nsw,19590124.0,2526809,29949
1535,4,riley,excell,6.0,farrer place,,franktson,3178,nsw,19590124.0,2526809,74311
0,---,---,---,---,---,---,---,---,---,---,---,---
24,5,quilliam,ashleigh,57.0,bedford s treet,rosall,surrey hills,6525,nsw,19460730.0,6408579,32542
107,5,ashleigh,quilliam,57.0,bedford street,rosall,surrey hills,6525,nsw,19460730.0,6408479,99761
4621,5,ashlewigh,quilliam,57.0,bedford street,rosall,surrey yhills,6525,nsw,19460730.0,6408479,49785
1399,5,maddison,quilliam,57.0,bedford street,rosall,surrey hills,6525,nsw,19460730.0,6408479,30438
0,---,---,---,---,---,---,---,---,---,---,---,---
3682,6,amber,pamplin,58.0,andrea place,milton,seven hills,5045,wa,19370407.0,1824555,41386
115,6,amber,pamplin,14.0,andrea palce,milton,seven hills,5054,wa,19691006.0,1824555,10887
101,6,amber,pamplin,58.0,milton,sturt acenue,thornlie,5040,wa,19370407.0,1824555,81162
0,---,---,---,---,---,---,---,---,---,---,---,---
226,7,charlei,ebert,21.0,brewste r place,summerdale medical centre,frankston,4570,vic,19711020.0,3939901,34245
138,7,charlie,ebert,21.0,brewster place,summerdale medical centre,frankston,4570,vic,19711020.0,3939901,63766
49,7,charlie,ebert,21.0,brewster place,summerdale medical centre,franskton,4570,vic,19711020.0,3939901,9073
2774,7,charlie,eberg,21.0,brewster place,summerdale medical centre,frankston,4570,vic,19711020.0,3939901,90411
2334,7,charlie,ebert,21.0,brewsterplace,summerdale emdical centre,frankwton,4570,vic,19711020.0,3939901,49840
0,---,---,---,---,---,---,---,---,---,---,---,---
4435,8,amber,blackweol,25.0,thomson street,,salisbury,3188,nsw,19860325.0,5701369,92895
75,8,amber,blackwell,25.0,thomson street,,salisbury,3188,nsw,19860325.0,5701396,90544
3796,8,ambre,blackwell,25.0,thomson street,,salibsury,3188,nsw,19160211.0,5701396,46769
142,8,amber,black well,25.0,thomso n street,warrina lakes,salisbury,3188,nsw,19860325.0,2016958,35462
0,---,---,---,---,---,---,---,---,---,---,---,---
2528,9,dominic,flockhart,2.0,oxley steret,clear creek,nortngate,3000,wa,19890621.0,5173538,51384
808,9,dominic,flockhart,2.0,oxley street,clear creek,norhtgate,3000,wa,19890621.0,5173538,60536
210,9,dominic,,2.0,oxley street,clear creek,northgate,3000,wa,19890621.0,5173538,83802
153,9,dominxic,flockhart,2.0,oxley street,clear creek,northgate,3000,wa,19890621.0,5173538,52090
155,9,dominic,flockhdart,26.0,oxley street,clear creek,northgate,3001,wa,19890621.0,5173538,16022
1695,9,dominic,flockhart,2.0,oxley street,clear creek,northgate,3000,wa,19890621.0,5173538,28632
0,---,---,---,---,---,---,---,---,---,---,---,---
2345,10,madison,dixon,37.0,sanford place,white lodge,ringwood,5047,sa,19220609.0,7161189,17162
130,10,madison,dixson,37.0,,white lodge,ringwoid,5047,sa,19940413.0,7161189,30433
195,10,kylie,dixon,4.0,sanford xplace,white lofdge,phillip,5047,sa,19000404.0,7161189,85545
4179,10,madison,dixon,37.0,sanfor d place,white lodge,ringqood,5047,sa,19220609.0,7161189,35310
0,---,---,---,---,---,---,---,---,---,---,---,---
4802,11,erin,humpjeys,11.0,endeavour street,,umina beach,4873,nsw,19670519.0,5094045,67238
932,11,erni,humphreys,11.0,endeavour street,lake macqupride vlge,umina beach,4873,nsw,19670519.0,5094045,92653
3945,11,erin,humphreys,11.0,endeavour street,lake macquarie vlge,umina beach,4873,nsw,19670519.0,5094045,89441
209,11,erin,humphreys,11.0,endeavour street,lake macquaire vlge,elanora heights,4874,nsw,19670519.0,5094045,93815
4631,11,erin,humphreys,11.0,stonehaven crescent,,umina breach,4873,nsw,19670519.0,5094045,21830
190,11,erin,humphreys,11.0,endeavour street,lake macquzrie vlge,umina beach,4873,nsw,19670519.0,9387932,18515
0,---,---,---,---,---,---,---,---,---,---,---,---
225,12,timothy,neville,21.0,fihelly street,villa 2,st lucia,3108,wa,19781123.0,1955388,78988
2721,12,timohy,nevilel,21.0,fihelly street,villa 2,st lcuia,3108,wa,19781123.0,1955388,26939
188,12,timothy,neville,21.0,fihelly street,villa2,st lucia,3108,wa,19781123.0,1955388,16838
1926,12,timothy,neville,,fihelly street,villa 2,st lucia,3108,wa,19781123.0,1955388,56880
0,---,---,---,---,---,---,---,---,---,---,---,---
180,13,jared,wytkin,61.0,belfield crescent,rowethorpe,bundaberg,5081,,19831025.0,2988806,4708
236,13,jared,wytkon,61.0,belfield crescent,rowethorpe,bundaberg,5081,,19831025.0,2988806,33864
565,13,jared,wytkin,61.0,belfieldcrescent,rowethorpe,bundaberg,5081,,19831025.0,2988806,93653
2071,13,jared,wytkin,61.0,belfield d rescent,rowethorpe,bundaberg,5081,,19080330.0,2988806,82747
0,---,---,---,---,---,---,---,---,---,---,---,---
2393,14,isaac,morrison,89.0,coolacplace,esk f awm,seaton,2566,vic,19131203.0,2277933,38655
181,14,brinaa,morrison,4.0,coolac vplace,esk farm,seaton,2566,vic,19131203.0,2277933,93708
4238,14,brianna,morrison,4.0,coolac place,esk farm,seaton,2566,vic,19131203.0,2277933,15737
247,14,brianna,morrison,4.0,burston place,esk f airm,seaton,2566,vic,19131203.0,2277933,12561
0,---,---,---,---,---,---,---,---,---,---,---,---
2232,15,christian,walch,27.0,coombestreet,warraview,,5008,nsw,19930222.0,1670806,24787
193,15,christian,ferris,3.0,coombe street,warraview,plumpton,5008,nsw,19930222.0,1670806,19945
2487,15,christian,walch,3.0,coombe street,warraview,plumpton,5008,nsw,19930222.0,1670806,9347
263,15,christian,walch,3.0,coombe street,warraview,plumpotn,5008,nsw,19930222.0,1670806,53418
0,---,---,---,---,---,---,---,---,---,---,---,---
274,16,keziah,parr,20.0,clift crescent,brookvale,murphys creek,2761,nsw,19550103.0,3697304,48263
20,16,keziah,parr,20.0,clift crecent,bro okvale,murphys rceek,2761,nsw,19550103.0,3697304,37442
0,---,---,---,---,---,---,---,---,---,---,---,---
136,17,benjamin,muog,302.0,peat place,arlnigton,frankston,4518,nsw,19101008.0,5994946,13593
1585,17,benjamin,mugo,302.0,peat place,arlington,frankston,4518,nsw,19101008.0,5994946,8318
4787,17,benjamin,mugo,302.0,peat place,,pakenham,4518,nsw,19101008.0,5994946,1436
949,17,benjamin,mugo,302.0,arlington,peat place,frankston,4518,nsw,19101008.0,5994946,65871
317,17,benjamin,mugo,302.0,peat plcae,arlington,franwton,4510,nsw,19101008.0,5994946,17356
0,---,---,---,---,---,---,---,---,---,---,---,---
248,18,sarah,greenw,37.0,kelleway avenue,allandale,marlesgon,6014,qld,19140908.0,6213427,90408
2945,18,sarah,clarke,37.0,kellewayavenue,allandale,marleston,6014,qld,19140908.0,9081739,44022
318,18,sarah,green,37.0,kelleway avenue,allandale,marleston,6014,qld,19140908.0,6213427,5703
0,---,---,---,---,---,---,---,---,---,---,---,---
2405,19,alexandra,grosvenor,8.0,anembo street,glenlee,frankston,4818,nsw,19930305.0,2128447,7733
197,19,alexandra,grosvenor,16.0,anembo street,glenlee,frankston,4818,nsw,19930305.0,2128447,46222
1322,19,alexandra,grosvenor,8.0,anembo street,glen lee,frankston,4818,nsw,19930305.0,2128447,45245
1166,19,alexandra,,8.0,anembo s treet,glenlee,frankston,4818,nsw,19930305.0,2128447,91239
340,19,alexadra,grosvenor,9.0,anembo street,glenlee,frankton,4818,nsw,19930305.0,2128447,87354
0,---,---,---,---,---,---,---,---,---,---,---,---
102,20,nathab,priest,363.0,banks street,manresa,malvern east,4750,act,19710428.0,4665603,18543
1449,20,nathsan,priest,363.0,banks street,manresa,malvern east,4570,act,19160503.0,4665603,86933
4758,20,nathan,priest,363.0,banks street,manresa,malvern east,4570,act,19160503.0,4665603,27509
574,20,,prise,363.0,banks xtreet,,malverneast,4579,act,19160503.0,4665603,36280
