given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id,id
mitchell,green,7,wallaby place,delmar,cleveland,2119,sa,19560409,1804974,74463
harley,mccarthy,177,pridhamstreet,milton,marsden,3165,nsw,19080419,6089216,60733
madeline,mason,54,hoseason street,lakefront retrmnt vlge,granville,4881,nsw,19081128,2185997,64831
isabelle,,23,gundulu place,currin ga,utakarra,2193,wa,19921119,4314184,12416
taylor,hathaway,7,yuranigh court,brentwood vlge,,4220,nsw,19991207,9144092,81570
toby,webb,6,kent street,kersey' south,towradgi,3107,nsw,19940503,1232838,36546
harry,stubs,,mountain creek road,,eaton,7310,vic,19721113,8317467,74668
lydia,mccattmhy,32,mckillop ecircuit,telemon orchards,corio,4670,nsw,19751220,1835068,39317
hollie,lillie-hinrichs,27,hemmings crescent,kilvintonvillage,banyo,4030,,19251130,4920253,14518
dylan,zilm,17,blameycrescent,condinup,wattle glen,4211,vic,19671229,4892623,28203
,donaldson,14,manity court,pacific terraces,charmhaven,3101,vic,19940825,9817986,18726
isabella,vincent,16,wilshiredstreet,erinsavle,rose ay,6207,vic,19760517,8693348,19093
connor,bishop,27,jarreah,mackinnon street,aspley,6052,,19200417,8871067,69817
connor,shepherd,39,burnage place,rowethorpe,winstonhills,3183,nsw,19320907,5731308,71409
natalia,gredn,358,macrossan crescent,newman medicajl centre,yagoona,2535,qld,19910111,3131587,75850
georgia,pettigrove,5,sinclair street,pinds,prairei,2478,nsw,19231019,9695933,9516
wilson,pitno,11,bousteadcircuit,jewells medical centre,granville,3161,qld,19971229,8930019,26266
andrew,klander,20,newman morris circuit,the willows,homebush,2285,vic,19761017,5392569,69936
tahni,skeen,11,macfarland crescent,,ryde,3220,,19231110,4111794,31924
kasey,millar,,burdekin avenue,crown allot,woollahra,4217,qld,19930714,7442486,20644
keziah,parr,20,clift crecent,bro okvale,murphys rceek,2761,nsw,19550103,3697304,37442
braecon,schuetz,122,howarth place,villa 19,alice springs,2028,vic,19440909,5276446,41948
nemesia,grifefn,10,derrington c rescent,hd curramulka,beechboro,2262,nsw,19870509,9760949,43797
,white,21,boobialla street,sheep s tation,carlingford,2830,qld,19241214,2042443,62094
quilliam,ashleigh,57,bedford s treet,rosall,surrey hills,6525,nsw,19460730,6408579,32542
jacqueline,daykin,21,mackie crescent,logan central plaza,pottsville beach,2213,qld,19510605,1615186,39008
amelia,benger,51,macalister crescent,,sippy downs,4110,nsw,19420909,8671640,13185
rily,gloster,24,farrerplace,,frankston,3178,nsw,19590124,2526809,66425
lily,thorpe,313,rivett place,thurlgona,mount gravatt,6104,wa,19310318,9216585,75888
lary,slape,11,lamington street,rosehe ll,albany creek,6020,wa,19010927,2204911,27492
joshua,linnell,2,lambrigg treet,craigie ela garden,rowville,3185,qld,19480511,7096343,29662
joshua,linnell,2,lambrigg street,craigie lea garden,balwyn north,3185,qld,19480511,7096343,80175
sophie,grubb,36,furphy place,mid city centre,cottles bridge,5091,qld,19230322,3779522,63332
john,slywka,33,gowrie court,boxwood vale,north ward,6014,tas,19590803,5011995,10546
alexandra,robson,4,brunswick circuit,keith payne hstl,mount sophia,5024,nsw,19470726,5974014,27866
stella,chandler,50,ebden street,rosetta village,coffs harbour,6304,vic,19741215,8164610,9247
thomas,white,706,monaro crescent,birra billa,point lofsdale,2088,wa,19310818,5855559,30263
hannah,bloomfield,7,ferguson circuit,crown allotment,oakden,7253,nsw,19130806,1605711,51190
,kochiwama,44,antares crescent,telopea p ark,benowa,7017,nsw,19000626,2398260,71300
lauren,bradshaw,130,ashcroft crescent,upa cottages,stirling north,2198,vic,19301022,1926163,38170
willow,froscio,378,yandastreet,,keilor,5022,vic,19091226,6630637,38008
sophie,nicolle,112,garling street,spring creek,kotara,4740,nt,19111001,7492384,94964
andrew,klander,20,newman morois circuit,the willows,homebush,2285,vic,19761017,5392569,15812
angus,stanley,6,lazar place,koobeja,floradhill,7008,qld,19971003,1076050,25038
jack,stubbs,150,heard street,summerset,st agnes,5344,qld,19890526,1690126,79510
matthew,leong,5,kavelstreet,glen-mwria,minchinbfry,6153,nsw,19170916,1648925,57195
stella,chandler,50,ebden street,rosetta vlilage,coffs harbour,6304,vic,19741215,8587561,47668
katel byn,colegte,55,fiveas hstreet,retirement village,londonderry,2195,nsw,19280828,4406021,89295
ebiny,morby,,condavale,macgillivray street,armidale,2111,nsw,19840906,3945914,33735
charlie,ebert,21,brewster place,summerdale medical centre,franskton,4570,vic,19711020,3939901,9073
charlotte,hylnand,25,madsen place,leisure lvikng vlge,clarinda,3108,qld,19820410,9354762,59755
cheree,purtell,1,spring rsnge road,guest village (cnrubullcreek d drive,cooma,6111,wa,19300407,5062347,9158
laura,ryan,3,officer crescent,craigie-lea,orange,2289,vic,19120402,4198979,74638
feilcity,godfrey,16,stuckey place,oaklands village,slacks creek,6050,nsw,19361030,6452813,13466
matthew,paine,7,mcintyre street,urunga,moulyinning,7000,nws,19250117,6277575,44764
mikhayla,campbell,9,baynton street,st francis vlge,notting hill,4350,qld,19280711,9484120,37675
charlie,roussonuis,13,gledden street,woorabinda,craigmore,6026,nsw,19461111,7379154,5692
dale,fimeri,37,burdett crescent,star court arcade,wilson,6618,nsw,19930529,7559543,66721
jaime,,342,elliott street,kildarra,bedfordale,2081,qld,19631110,8789539,32604
riley,gloster,24,farrer place,,frankston,3178,nsw,19590124,2526809,29949
charlie,goode,7,tauss place,grahdview,,2575,vic,19761213,6548135,2359
chloe,pantazopoulos,147,allott place,wyoming park,aldgate,2325,nsw,19860807,9036067,55548
corey,condo,5,andamooka street,coolinda,hillston,2026,nsw,19900616,4204990,49132
emiily,berry,3,tenison-woods circuit,,ashfield,6169,nsw,19780527,6459366,28196
emmet,weller,11,copland drive,,birmingham gardens,4365,wa,19270516,6281502,81809
liam,tuttleby,5,verco street,rose-lea,trevallyn,2259,qld,19080101,4376020,21275
karfissa,creten,185,beattie cescent,birrabilla,moranbah,2525,nsw,19360703,2328993,95206
isabelle,kaminskas,106,isis close,westholme,port augusta,2765,qls,19060622,5344955,97032
jayden,browne,80,kincumber nautical vlge,chaseling street,sussex inlet,2630,nsw,19430306,2825950,29275
melissa,lanzotti,24,balfour crescent,killara lodge,cranbourne,2064,vic,19810828,7433231,13472
bailee,dent,58,maddoc k place,jingara,nowra,4171,qld,19950112,4080299,58353
quinn,godfrey,21,duffy street,ardersidr,highotn,3165,vic,19450122,3298961,72219
charlie,stanley,,amagula avenue,,klemzig,3356,vic,19510717,6800801,21180
jazz,stephenson,210,julia flynn avenue,,ingleubrn,3172,sa,19401214,4166094,77679
aleisha,mcelwee,34,osburn drive,parraweena,condell park,5237,act,19440525,2532051,1733
amber,blackwell,25,thomson street,,salisbury,3188,nsw,19860325,5701396,90544
shakiroh,evans-zijlstra,1,ashkanasycrescent,townview,robina,2340,vic,19510905,4746855,32807
,shelley,90,cromwell circuit,wombat hill,noble apark,2026,vic,19780711,2664293,11127
aiden,ryan,292,honey patch,gundulu place,mosman,3076,wa,19360524,3804933,58918
william,lazavroff,431,leahy lose,millwood,forbes,7256,qld,19780204,8072193,34266
jamie,van galen,64,callister crescent,mowbray,hackham,3060,nsw,19720909,3179404,38697
isabella,hendricks,86,colborne place,dog rock shopping centre,north ryde,2000,nsw,19770129,9899655,65865
lucas,benger,19,cunningham street,padicam,melton south,2232,nsw,19851030,5458466,81047
harrison,doman,20,harry hopman circuit,moline village,toowong,2088,sa,19570519,1542335,17997
clarke,isabella,59,gillespie street,,mount victoria,2147,act,19950110,4409764,37391
emmerson,loyck,5,burnie treet,gordale,thursday island,3147,vic,19211129,3901477,30201
sarah,behnke,3,pearson street,broombie stud,ramornie,2209,vic,19930910,8625215,36171
angus,rees,5,heatonnplace,pangani,new farm,6210,nsw,19220723,8576362,79226
jordan,vaile,12,mullan street,rosewynne,mansfield,4153,qld,19940914,7672358,13180
tate,hingston,159,oxley street,wylarah,kurri kurri,5045,nsw,19680521,1954716,50773
charlotte,bovill,28,vickery street,cashbar,scarborough,3911,vic,19730412,5083623,38633
emma,matthews,39,vanzetti crescent,sunny brees,moorabbin,5158,qld,19910426,1091439,26663
sophie,nguyen,26,namoi place,,mount colah,2550,nsw,19701117,2122377,64482
kai,white,8,cockcrofqt avenue,allunga,parramaxta,4197,,19551009,5791061,82199
blade,stingle,34,earle place,upper warrell,kellyville,5046,,19220925,6748586,92976
rosie,rundle,8,sturt avneue,talonmane,bundaberg,2263,nt,19751109,9092692,24336
wanders,harry,120,morehead street,carrington trrmnt vlge,trevallyn,7205,sa,19121013,8289232,88290
harrison,matthiessen,3,harbison crescent,oakdale,port kembla,2619,wa,19580430,4684373,70255
lauren,sounness,18,leist street,moondani,seaforth,832,qld,19900129,6693616,46644
tommy,spinato,29,howie court,,ballarat,3356,nsw,19821129,4527826,69618
connor,mayman,40,marenghoplace,wilga,toowoomba,2025,nsw,19651018,8203430,56185
amber,pamplin,58,milton,sturt acenue,thornlie,5040,wa,19370407,1824555,81162
nathab,priest,363,banks street,manresa,malvern east,4750,act,19710428,4665603,18543
casey,vitkunas,22,jones place,karinga park,emmaville,2346,tas,19551192,2474313,70858
silas,webbm,20,jacka crvscent,shopping centre,nambour,4306,vic,19580212,7373672,93689
nicholas,fittock,10,fortitudey street,,st kilda east,2298,nt,19651025,8437365,85495
jayden,liberts,3,odern place,peppertree,corryong,2614,qld,19341218,5242447,22892
ashleigh,quilliam,57,bedford street,rosall,surrey hills,6525,nsw,19460730,6408479,99761
joel,ryan,26,lance hill avenue,cameroo,forest hill,3070,nsw,19720615,7563426,10420
danjel,vincent,7,forbes street,villa 3,toukley,3178,qld,19510703,8506548,7133
jasper,jennion,16,fitzhardinge crescent,lords house,glenside,4034,nsw,19720414,5825359,16321
chloe,crosthwaite,42,ashkanasy crescent,,canterbury,4215,nsw,19550722,8848058,65081
natqlee,coleman,293,minns place,,waterman,3910,vic,19110405,3646292,62171
sophie,laundy,15,la perouse street,k mart plaza,eight mile plains,3981,vic,19021029,8888208,28067
reuven,edgecombe,6,ashburton circuit,north vaenue,palmerston,4231,vic,19540701,8642119,693
amber,pamplin,14,andrea palce,milton,seven hills,5054,wa,19691006,1824555,10887
ayla,benjamin,3,bradfield street,concept,tatura,2030,wa,,4452328,28911
,kempton,8,homburg street,yellow dam,blacktown,3122,vic,19021108,8283089,56262
dylan,wilkins,18,denovan circuit,two tree hill,brighton-le-sands,2320,nsw,,8735875,74083
sienna,slape,52,rene street,,burleigh waters,4034,vic,19400331,7340083,20293
michael,laverty,6,hytten place,sennockke,suffolk park,2208,vic,19631213,9807797,70498
jake,grosser,3,lexcen a venue,horseshoe bend,bomaderry,2161,vic,19670227,8695287,31436
madison,maynard,257,holmes crescent,glenview,embleton,2154,nsw,19400506,3031454,51061
byron,wisowaty,58,pera place,john flynn medical centre,caulfield,6101,,19320304,8901022,88350
layla,thrussell,27,markell p lace,,frenchs forest,6728,qld,19250608,1947368,5110
jack,mcneeley,39,keverstone circuit,royal queensland yacht squadron,brighton-le-sands,4702,wa,19880329,1834993,19139
grace,timmermans,18,cussen street,hallsville,preston,2251,wa,19501207,6702521,22741
carly,benger,61,gellibrand street,gradnview,carnegie,4011,nsw,19710126,5651019,15764
brydee,westermann,13,burkitt street,mlc centre,banks,3352,vic,19910126,1387695,28131
isaac,clarke,1,armytage circuit,oaklands village,annangrove,3636,vic,19570425,9451125,766
madison,dixson,37,,white lodge,ringwoid,5047,sa,19940413,7161189,30433
fraser,tadege,1,mcinneswstreet,,scarborojgh,2870,nsw,19001013,3817644,25347
lara,chandler,42,dempster place,henry kendall bayside,kingaroy,2219,nsw,19360624,3577228,42046
hollv,shepherd,3,stillwell place,elstoh,albion park rail,6201,vic,19800323,4620818,98214
alexa-rose,white,22,warrego circuit,burnisde,bayswater,3040,nt,19160822,2502613,10495
oliver,cureton,164,drevermann street,burraminga,toronto,3149,qld,19920126,9218356,74525
benjamin,muog,302,peat place,arlnigton,frankston,4518,nsw,19101008,5994946,13593
isabella,runlde,8,fawkner street,emerald agrigulural college,pottsville,6154,nsw,,6097070,6413
charlie,ebert,21,brewster place,summerdale medical centre,frankston,4570,vic,19711020,3939901,63766
haryr,clarke,,hyndes crescent,royal brisbane hospital,homebush,4805,nsw,19971021,6391939,29860
hayden,ngai,40,hinkler street,berajondo,nightcliff,2263,vic,19970624,2260097,44378
samuel,wasley,12,earle street,university shores,northbridge,2530,nsw,19461003,2561997,25127
amber,black well,25,thomso n street,warrina lakes,salisbury,3188,nsw,19860325,2016958,35462
micaela,blackwell,,lewin street,rosedina,dulwich hill,4103,nsw,19791204,7856388,21419
callie,bullock,7,warramoo crescent,kanangra hstl,noble park,2650,tas,19351013,6636494,35252
sian,beelitz,3,ashkanasy crescent,miowera,sylvania,5042,nsw,19510904,3279804,1216
daniel,clarke,3,goldsborough close,,wilson,2206,wa,19630507,9886493,49759
riley,faull,32,turner place,margaret river carvn park,long jetty,2033,nsw,19640728,8404785,36992
riley,wegemer,45,phillip avenue,walhalla,cremorne,3937,wa,19540621,9657253,86220
alexandra,knapman,16,mceacherncxrescent,villa 306,chelsea heights,3429,sa,19151113,6888119,42801
niocla,collier,,schaff eyr place,mt styrt,sheidow park,2098,nsw,19420623,8536431,36879
emiily,vodden,41,clement place,arcadia,st johns park,2170,nsw,19811218,9588930,21350
cassandra,rafanelli,3025,,berragoon,st slbans,3020,wa,19270701,7377790,82037
dominxic,flockhart,2,oxley street,clear creek,northgate,3000,wa,19890621,5173538,52090
samantha,sabieray,68,quandong street,wattle brae,gorokan,4019,wa,19590807,2863290,2074
dominic,flockhdart,26,oxley street,clear creek,northgate,3001,wa,19890621,5173538,16022
harrison,paulka,211,bourne street,tally ho,ballina,3976,vic,19260122,4721250,54917
toby,maczkowiack,8,kanooka street,carinya vlge,canley vale,3219,nsw,19000328,7799632,83423
ruby,jeffries,73,forbes street,underwood,st albans,4165,nsw,19490705,8939903,83801
charlotte,mccraken,5,,flr 5 john flynnmedical centre,bligh park,4814,nsw,19570529,6092940,1424
sma,webb,5,deamer cerescent,belaradah,west lakes shore,2570,wa,19361215,4408444,67820
jonah,nguyen,8,dalley crescent,the palms village,kingary,2607,nsw,19591019,9550440,7600
eliza,white,82,summerland circuit,rsd shee oak ridge,thornlie,2345,qld,19420103,6353345,54495
barnaby,egan,13,britten-jones drive,rawdon,kaleen,4304,vic,19270529,6442115,47693
kate,rawlings,70,corin place,oxfodrd,kuraby,4216,qld,19330925,2464828,34803
mackinley,rees,93,oman place,locn 2192,parmelia,3084,wa,19710708,5830377,72109
hayden,covino,10,glengariffe,deamer cf escent,north ryde,2705,qld,19541104,2494239,96268
jessica,ryan,37,mccrae street,cherry haven,junortoun,6065,vic,19980225,4602238,29534
bradley,clarke,40,sharwood csrescent,lynd hurat,ringwood,3959,wa,19510302,8586164,57621
locylan,grosser,5,yapunyah street,youralla,gingin,5276,nsw,19530210,5071722,29715
danielle,morrison,95,london circuit,sec 552,bibra lake,4701,vic,19030709,8907802,77101
alessandria,rabbitt,19,ellenborough street,inglemer,mirrabooka,2186,vic,19900410,6217834,34927
phoebe,pettman-south,108,kernot street,surfrider carvn park,ballina,3175,vic,19720328,9681847,18560
laura,braunak,87,durville crescent,,graceyville,2536,nsw,19550419,6978084,58093
joshu a,hohn,97,somme rlad place,coralyn,eight mile plains,3178,vic,19260422,6588717,11697
millane,mccarthy,3,alfred hill drive,hold fast shores,mortlake,2032,wa,19630818,6220857,59914
emma,thackeray,71,kinkead street,warrah lea,newcomb,4161,,19670913,4676877,59631
,,1,amaroo wallaroo road,parkside flats,chester hill,4811,nsw,19250804,1323712,58066
malakai,schoppe,31,boddington crescent,broadwater caravn park,trafalgar,2747,vic,19141221,9890346,95246
anastasia,kromwyk,17,dyson street,,talwood,4115,vic,,8198114,96239
jared,wytkin,61,belfield crescent,rowethorpe,bundaberg,5081,,19831025,2988806,4708
brinaa,morrison,4,coolac vplace,esk farm,seaton,2566,vic,19131203,2277933,93708
lily,petersen,13,bissenberger crescent,,melville,2250,,19020326,3851124,42566
sophie,lovelock,7,calder crescent,,pitt town,3810,nsw,19470413,1321061,71016
joshua,eyles,27,harcourt street,belmore river,underdale,2112,vic,19861219,1761692,24534
abbey,herno,1,drosera place,quandialla,yarra junction,800,vic,19760613,2291123,55782
alexandra,heron,327,tullaroop street,vinery,elsternwick,6208,nsw,19400609,9873657,66371
jaiden,rollins,48,tulgeywood,rossarden street,balwyn north,2224,nt,19280722,7626396,45656
timothy,neville,21,fihelly street,villa2,st lucia,3108,wa,19781123,1955388,16838
jarod,mccarthy,63,henty street,moriah ifelds,,2166,nsw,19400529,6158276,89009
erin,humphreys,11,endeavour street,lake macquzrie vlge,umina beach,4873,nsw,19670519,9387932,18515
ruby,reid,7,fitzmaurice street,,eaglwhawk,2260,qld,19120626,8386277,13821
charlie,primvaera,6,chauvel street,st francis vlge,dover yeights,2533,nsw,19250314,3173638,7906
christian,ferris,3,coombe street,warraview,plumpton,5008,nsw,19930222,1670806,19945
eliza,mason,57,kennedy sreet,brentwodo vlge,bundamba,4067,tas,19071124,3004030,74888
kylie,dixon,4,sanford xplace,white lofdge,phillip,5047,sa,19000404,7161189,85545
lauren,paine,27,mcvey pace,yambira,helid on,2776,qld,19440502,4517134,2226
alexandra,grosvenor,16,anembo street,glenlee,frankston,4818,nsw,19930305,2128447,46222
harrison,schumann,24,monaro crescent,donnelly rvr villg,oakleigh,2280,nsw,19991013,9551413,40875
beams,emiily,1,tarrabo ol street,,andergrove,2075,qld,19011124,6512231,31127
ryan,fey,82,kitchener street,un t 1,slacks creek,3450,qld,19870928,4515379,80576
georgia,byersi,17,hilder street,,palmerston,4740,nse,19550530,6410415,6374
anika,spicer,3,melrose drive,rmbe 770,view bank,2067,nsw,19861012,1434508,64595
liam,kothe,8,beaurepaire crescent,,allawah,4570,qld,19740720,6657084,90259
jaco b,,24,downward place,banksia village,bunbury,4671,qld,19470530,3777070,28504
pia,campbell,28,euree street,ursula,corowa,3199,vic,19150704,7029505,48230
lucinda,mcneill,7,ashburton circuit,malekula,vaucluse,3223,qld,19090228,4364711,21312
olivia,wheatley,5,crisp circuit,stanhope sth,lake clarendon,4575,qld,19421007,5051083,82521
thomas,finlay,2,vicke ry street,brindabella court,page,2160,qld,19520829,5555657,29940
erin,humphreys,11,endeavour street,lake macquaire vlge,elanora heights,4874,nsw,19670519,5094045,93815
dominic,,2,oxley street,clear creek,northgate,3000,wa,19890621,5173538,83802
isabella,gilbertson,67,boswell c rescent,,morwell,4704,qld,19111011,9304242,39789
holly,shepherd,44,castlereaghcrescent,dalkeith cottage,eaton,6060,vic,19980816,1917978,80028
lachlan,goldsworthy,61,ashkanasy crescent,mcivor ridge,rowville,3158,vic,19450818,8577437,59530
andrea,brokenshire,3,sturdee crescent,,birmingham gardens,2455,nsw,19450619,2381532,46782
jed,hearn,560,gairdner circuit,hd curramulka,alice springs,3056,qld,19060312,9442649,11557
jordhau,ryan,16,carnegie crescent,tahmoor,millrbook,6004,vic,19900903,2479030,18835
joshua,morrison,17,beasley street,,tingalpa,5097,vic,19101123,1294692,77803
flynn,crea,45,,,lismore,2068,nsw,19610318,7062906,7060
jacob,marampon,39,lowanna street,glenveagh,keysborough,3806,vic,,7380723,10805
olivia,philps,84,ennor crescent,yarawee,king river,2540,nsw,19770302,4412451,34466
madison,fenwick,63,terry close,llandina,glenside,4551,sa,19210711,9717577,44460
juliana,petersen,25,currong street,admiralty quays,glenside,5280,nsw,19610510,1726629,70720
loan,green,11,marlock street,kersley mews,an ula,6233,nsw,19440514,2837625,47461
ebpony,,90,david street,,long jetty,6630,nsw,19410614,7166687,92740
