record_id,person_group,group_size,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id,id
15,Person 1,6,georgia,pettigrove,5.0,sinclair street,pinds,prairei,2478,nsw,19231019.0,9695933,9516
494,Person 1,6,georgia,pettigrove,5.0,sinclair street,pindf,prairie,2478,nsw,19231019.0,9695933,91555
937,Person 1,6,pettigrove,georgia,5.0,sinclair street,pinda,prairie,2478,nsw,19231019.0,9695933,44081
2814,Person 1,6,georgia,pettigrove,5.0,sinclair street,,prairie,2478,nsw,19231019.0,9695933,35391
3170,Person 1,6,georgia,pettigrove,5.0,sinclair street,pimda,prairie,2478,nsw,19231019.0,9695933,49626
3229,Person 1,6,georgia,pettigrove,5.0,sinclair street,pinda,prairie,2478,nsw,19231019.0,9695933,79608
29,Person 2,6,lary,slape,11.0,lamington street,rosehe ll,albany creek,6020,wa,19010927.0,2204911,27492
903,Person 2,6,lard,slape,,lamingtnn street,rosehill,albany creek,6002,wa,19010927.0,2204911,36264
1466,Person 2,6,lara,slape,11.0,lamingtonj street,rosehill,albany creek,6002,wa,19010927.0,2204711,97201
2550,Person 2,6,lara,slave,11.0,lamington s treet,rodehill,albany creek,6020,wa,19010927.0,2204911,91491
2624,Person 2,6,lara,slpee,11.0,lamington street,rosehill,albany creek,6020,wa,19010927.0,2204911,18828
3424,Person 2,6,lara,slape,11.0,lamington street,rosehill,albany creek,6020,wa,19010927.0,2204911,26208
35,Person 3,6,stella,chandler,50.0,ebden street,rosetta village,coffs harbour,6304,vic,19741215.0,8164610,9247
46,Person 3,6,stella,chandler,50.0,ebden street,rosetta vlilage,coffs harbour,6304,vic,19741215.0,8587561,47668
600,Person 3,6,stella,chandler,50.0,letters street,rosetta ivllage,coffs harbour,6304,vic,19741215.0,8164610,85445
820,Person 3,6,stella,chandker,50.0,ebden street,rosetta village,harbord,6304,vic,19741215.0,8164610,87729
1210,Person 3,6,stella,chandler,50.0,ebden s treet,rosettamvillage,coffs harbour,6304,vic,19741215.0,8164610,99670
2773,Person 3,6,stella,chandler,50.0,ebdenstreet,rosettavillage,coffs harbour,6304,vic,19741215.0,8164610,19755
44,Person 4,6,jack,stubbs,150.0,heard street,summerset,st agnes,5344,qld,19890526.0,1690126,79510
2032,Person 4,6,jack,stanley,150.0,heard street,sumemfset,,5344,qld,19890526.0,1690126,69169
2631,Person 4,6,stubbs,jaxck,150.0,heard sreet,summerset,st agnes,5344,qld,19890526.0,1690126,74728
2978,Person 4,6,jack,stubbhw,150.0,heard srteet,summe sret,st agnes,5344,qld,19890526.0,1690126,20694
3312,Person 4,6,jack,stubbs,150.0,curnow jlace,summe erset,st agnes,5344,,19830223.0,1690126,7850
4223,Person 4,6,jack,stubbs,105.0,heard street,summreseet,st agnes,5344,,19890526.0,1690126,57370
47,Person 5,6,katel byn,colegte,55.0,fiveas hstreet,retirement village,londonderry,2195,nsw,19280828.0,4406021,89295
1048,Person 5,6,katelyn,colegate,55.0,fiveash street,retirement village,londonderry,2195,nsw,19280828.0,4406201,76083
3350,Person 5,6,katelyn,colegamte,55.0,fiveasah street,,londonderry,2195,nsw,19280828.0,4406021,63275
3670,Person 5,6,katelyn,colegate,55.0,fiveash street,retirement village,londonderry,2195,nsw,19280828.0,4406021,89551
4036,Person 5,6,katelyn,colegate,5.0,fiveash street,retirement village,londonderry,2195,nsw,19280828.0,4406021,12648
4166,Person 5,6,katelyn,colegtae,55.0,fiveash street,retirement village,londonderry,2195,nsw,19280828.0,4406021,41664
49,Person 6,6,charlie,ebert,21.0,brewster place,summerdale medical centre,franskton,4570,vic,19711020.0,3939901,9073
138,Person 6,6,charlie,ebert,21.0,brewster place,summerdale medical centre,frankston,4570,vic,19711020.0,3939901,63766
226,Person 6,6,charlei,ebert,21.0,brewste r place,summerdale medical centre,frankston,4570,vic,19711020.0,3939901,34245
492,Person 6,6,seanna,ebhrt,21.0,brewster place,,frankston,4507,qld,19711020.0,3939901,58187
2334,Person 6,6,charlie,ebert,21.0,brewsterplace,summerdale emdical centre,frankwton,4570,vic,19711020.0,3939901,49840
2774,Person 6,6,charlie,eberg,21.0,brewster place,summerdale medical centre,frankston,4570,vic,19711020.0,3939901,90411
50,Person 7,6,charlotte,hylnand,25.0,madsen place,leisure lvikng vlge,clarinda,3108,qld,19820410.0,9354762,59755
1786,Person 7,6,charlote,hyland,25.0,madsen place,leisure living vlge,clarinda,3108,qlf,19340909.0,9354762,17724
1923,Person 7,6,charlotte,hylawnd,25.0,madsen place,leisure oiving vlge,clarinda,3108,qld,19340909.0,9354762,55388
2280,Person 7,6,charlotte,hyland,25.0,madsen place,leisure living vlge,clarinda,3108,qld,19460401.0,9354762,15687
3609,Person 7,6,charlotte,hyland,25.0,madsen place,leisure living vlge,clarinda,3108,qld,19340909.0,9354762,86200
4366,Person 7,6,charlotte,hyland,25.0,madsen place,leisure living vlge,invermay,3108,qld,19930421.0,9354762,60046
58,Person 8,6,jaime,,342.0,elliott street,kildarra,bedfordale,2081,qld,19631110.0,8789539,32604
1719,Person 8,6,jaime,musolino,51.0,elliott street,kildatra,bedfodrale,2081,qld,19631110.0,8789539,97904
3568,Person 8,6,,musolino,342.0,elliott srfeet,kildarra,bedfordale,2081,qld,19631110.0,8789539,89175
3959,Person 8,6,jaime,musolimo,324.0,elliottstreet,kildafra,bedfodrale,2081,qld,19631110.0,8789539,2374
4655,Person 8,6,jaime,musolino,,elliott street,kilda rra,bedfordale,2081,qld,19631110.0,8789539,57904
4657,Person 8,6,jaime,musolino,342.0,elliott street,kildarra,bedfordale,2081,qld,19631110.0,8789539,13126
60,Person 9,6,charlie,goode,7.0,tauss place,grahdview,,2575,vic,19761213.0,6548135,2359
3452,Person 9,6,charlie,mantovano,7.0,tauss place,grandvew,mitcham,2575,vic,19761213.0,6548135,1579
3666,Person 9,6,charlie,goode,7.0,tauss place,grandview,mitcham,2575,vic,19761213.0,6548135,31225
3791,Person 9,6,charlie,goode,7.0,tauss place,grandview,mitcham,2557,vic,19761213.0,6548135,7867
4083,Person 9,6,charzlie,goode,7.0,taussplace,,mitcham,2575,vic,19761213.0,6548135,10019
4686,Person 9,6,charie,goode,7.0,tauss place,grandivew,mitcham,2575,vic,19761213.0,6548135,32556
64,Person 10,6,emmet,weller,11.0,copland drive,,birmingham gardens,4365,wa,19270516.0,6281502,81809
837,Person 10,6,madisoen,welller,11.0,coplanddrive,,birmingha m gardens,4350,wa,19341024.0,6281502,54845
3667,Person 10,6,,weller,24.0,copland drive,,birminghamgardens,4350,wa,19270516.0,6281502,55823
4322,Person 10,6,emmet,weller,11.0,copland drive,,birmingham gardens,4350,wa,19270516.0,6281502,37863
4617,Person 10,6,emmet,weller,11.0,coplandwdrive,,birmingham gardens,4350,wa,19270516.0,6281502,34984
4628,Person 10,6,emmet,weller,,copland drive,,birmingham gardens,4350,wa,19270516.0,6281502,67933
66,Person 11,6,karfissa,creten,185.0,beattie cescent,birrabilla,moranbah,2525,nsw,19360703.0,2328993,95206
1382,Person 11,6,karissa,creten,158.0,beattie crgescent,birrabilla,moranbah,2525,nsw,19360703.0,2328993,39042
1934,Person 11,6,karissa,creten,22.0,noarlunga crescent,birrabilla,moranbah,2525,nsw,19360703.0,2328993,88941
2786,Person 11,6,karissa,creten,185.0,beattie crescent,birrabilla,moranbah,2525,nsw,19360703.0,2328993,65962
3131,Person 11,6,deally,karissa,185.0,beattie crescent,birrabilla,moranbah,2525,nsw,19360703.0,2328993,74874
3983,Person 11,6,mitchell,creten,185.0,birrabilla,beattie crscent,moranbah,2525,nsw,19360703.0,2328993,54984
67,Person 12,6,isabelle,kaminskas,106.0,isis close,westholme,port augusta,2765,qls,19060622.0,5344955,97032
535,Person 12,6,isabelle,kaminskas,6.0,isis close,westholme,port aucusta,2765,qld,19060622.0,5344955,93924
1674,Person 12,6,isabelle,kaminskas,6.0,isis close,westholme,port augusta,2765,qld,19060622.0,5344955,97548
2223,Person 12,6,isabelle,kaminskas,6.0,isis close,west holme,port augusta,2765,qld,19060622.0,3745351,34953
2512,Person 12,6,kaminskas,isabelle,19.0,isis cqlose,westholme,port augusta,2765,qld,19060622.0,9770315,69084
4953,Person 12,6,kaminskas,isabele,6.0,isis close,westholme,port qugusta,2765,qld,19060622.0,5344955,93813
79,Person 13,6,william,lazavroff,431.0,leahy lose,millwood,forbes,7256,qld,19780204.0,8072193,34266
1522,Person 13,6,wiloiam,lazaroff,21.0,ennis place,millwood,forbqes,7257,qld,19780204.0,8072193,89808
3253,Person 13,6,william,lazaroff,12.0,leahy close,millwood,forbes,7256,qld,19780204.0,8072193,91717
3950,Person 13,6,william,lazaroff,,leah y close,millwood,forbes,7256,qld,19780204.0,8072193,41888
4442,Person 13,6,willaim,lazaroff,12.0,leahy dlose,millwood,forbex,7256,qld,19780204.0,8072193,64607
4996,Person 13,6,william,lazaroff,12.0,leah ylose,milwlood,forbes,7256,qld,,8072193,85261
84,Person 14,6,clarke,isabella,59.0,gillespie street,,mount victoria,2147,act,19950110.0,4409764,37391
832,Person 14,6,isabella,clarke,59.0,gillespie street,flr 5 john flynnkmedical centre,mount victoria,2147,act,19950110.0,4409764,8006
2193,Person 14,6,isabella,clarke,59.0,gillespie street,flr5 john flyn medical centre,mount vitoria,2147,act,19950110.0,4409764,61450
3729,Person 14,6,isabella,clarke,59.0,gillespiqe street,flr 5 john flyn medical centre,mount victoria,2147,act,19950110.0,4409764,20306
4235,Person 14,6,isabella,clarke,59.0,gillespie street,flr 5 john flynn medical centre,mount victoria,2147,act,19950110.0,4409764,43696
4864,Person 14,6,isabella,clarek,59.0,gillespie street,flr 5 john flynn medical centre,mount victoria,2147,act,19950110.0,4409764,62636
87,Person 15,6,angus,rees,5.0,heatonnplace,pangani,new farm,6210,nsw,19220723.0,8576362,79226
418,Person 15,6,angus,rees,23.0,heato n place,panagni,new farm,6219,nsw,19220723.0,8576362,70486
2024,Person 15,6,angus,rees,23.0,heaton place,pangani,new farm,6210,nsw,19220723.0,8576362,5812
3246,Person 15,6,angus,rees,23.0,heaton place,pangani,new afrm,6210,nsw,19220723.0,8576362,15780
4274,Person 15,6,angus,rees,23.0,heaton place,,new farm,6210,nsw,19220723.0,8576362,60057
4853,Person 15,6,angus,reec,9.0,heaton pace,pangani,new farm,6210,nsw,19220723.0,8576362,87240
92,Person 16,6,sophie,nguyen,26.0,namoi place,,mount colah,2550,nsw,19701117.0,2122377,64482
473,Person 16,6,sopihe,nguyen,26.0,namoi place,,mount colah,2550,nsw,19701117.0,2122377,82492
1550,Person 16,6,sophie,nguyen,,namoipkace,kooraegulla,mount colah,2550,nsw,19701117.0,2122377,89125
1762,Person 16,6,sophie,george,26.0,namoi place,,mount colah,2550,,19701117.0,2122377,57040
3233,Person 16,6,sophie,nguyen,26.0,namoi plkace,,mount colah,2550,nsw,19701117.0,2122377,77288
3823,Person 16,6,nguyen,sophie,26.0,,,mount colah,2505,nsw,19701117.0,2122377,57675
93,Person 17,6,kai,white,8.0,cockcrofqt avenue,allunga,parramaxta,4197,,19551009.0,5791061,82199
1152,Person 17,6,kai,white,8.0,cockcroft avenue,allunga,parramatta,4179,,19551009.0,5791016,57815
1273,Person 17,6,kia,white,8.0,allunga,cockcroft avenue,parramatta,4179,,19551009.0,5791061,17990
3047,Person 17,6,kai,white,8.0,cockcroft avenue,al lunga,parramatta,4179,,19551009.0,6779312,59698
4107,Person 17,6,kai,white,8.0,allunga,cockcroft avenue,parramtta,4197,,19551009.0,5791061,27221
4230,Person 17,6,kai,white,8.0,cockcroft avenue,allunga,parramatta,4179,,19551009.0,5791061,25817
95,Person 18,6,rosie,rundle,8.0,sturt avneue,talonmane,bundaberg,2263,nt,19751109.0,9092692,24336
1020,Person 18,6,rosie,runlde,50.0,sturtalvenue,talonmane,bundaberg,2263,nt,19751109.0,9092692,62429
2351,Person 18,6,rosie,rundle,50.0,sturt venue,talonmnae,bundaberg,2263,nt,19751109.0,9092692,38485
3321,Person 18,6,jenna,campbell,50.0,sturt avenue,talonmane,bundaberg,2263,nt,19751109.0,9092692,32326
3366,Person 18,6,rosie,rundle,50.0,sturt avenue,talonmane,bundaberg,2263,nt,19751109.0,9092692,46381
3632,Person 18,6,rosie,rundle,50.0,sturt avenue,tal onmane,bundaebrg,2263,nt,19751109.0,9082692,89403
126,Person 19,6,grace,timmermans,18.0,cussen street,hallsville,preston,2251,wa,19501207.0,6702521,22741
1473,Person 19,6,grace,timmermans,18.0,cussenstreet,,preston,2251,wa,19501207.0,6702521,55896
3027,Person 19,6,grace,timmermans,18.0,cussen street,hallsviole,prestln,2251,wa,19501207.0,6702521,79016
4649,Person 19,6,grace,timmermans,81.0,cussen street,hallsvi lle,prestion,2251,wa,19501207.0,6702521,58222
4674,Person 19,6,grace,timmemrans,18.0,cussen street,hallsville,prestn,2251,wa,19501207.0,6702521,35382
4923,Person 19,6,grace,timmermans,18.0,cussen stfjeet,,preston,2251,wa,19501207.0,6702521,26038
128,Person 20,6,brydee,westermann,13.0,burkitt street,mlc centre,banks,3352,vic,19910126.0,1387695,28131
1095,Person 20,6,brydee,westermann,13.0,burkitt street,mlc cent re,banks,3350,vic,19910126.0,1387695,48980
1692,Person 20,6,brydee,westermann,13.0,burkit street,,banks,3350,vic,19910126.0,1387965,94575
2101,Person 20,6,emiily,nicely,13.0,burkitts treet,mlc centre,banks,3350,vic,19910126.0,1387695,73173
2367,Person 20,6,brydee,westernann,13.0,burkitt street,mlc centre,banks,3350,vic,19910126.0,1387695,95773
2717,Person 20,6,brydee,westermann,13.0,burkitt street,mlc centre,banks,3350,vic,19910126.0,1387695,92884
131,Person 21,6,fraser,tadege,1.0,mcinneswstreet,,scarborojgh,2870,nsw,19001013.0,3817644,25347
964,Person 21,6,fraser,tadege,,mcinnes treet,,scarborough,2870,nsw,19001013.0,3817644,27915
1385,Person 21,6,fraser,tadege,1.0,mcinnes street,,scarboruogh,2870,nsw,19001013.0,3817644,51657
2843,Person 21,6,,tadege,1.0,mcinnes street,,scarborough,2870,nsw,19001013.0,3817644,1131
3792,Person 21,6,fraser,tadege,1.0,mcinness treet,roweth orpe,scarborough,2870,nsw,19001013.0,3817644,20649
4283,Person 21,6,fraser,tadege,1.0,mcinnes street,,scarborough,2870,nsw,19001013.0,3817644,65794
134,Person 22,6,alexa-rose,white,22.0,warrego circuit,burnisde,bayswater,3040,nt,19160822.0,2502613,10495
904,Person 22,6,renee,white,22.0,warrego circuit,burnsid e,bayswater,3040,nt,19160822.0,2502613,35032
1445,Person 22,6,alexa-ose,white,43.0,warrego circuit,burnside,bayswter,3041,nt,19160822.0,2502613,31827
1644,Person 22,6,alexa-rxose,whit,22.0,warrego circuit,,bayswater,3004,nt,19160822.0,2502613,67570
2205,Person 22,6,whitbe,alexa-rose,22.0,warregocircuit,burnslde,bayswater,3040,nt,19300526.0,2502613,27548
3570,Person 22,6,alexa-rose,white,22.0,warrego circuit,burnside,bayswater,3040,nt,19160822.0,2502613,62328
136,Person 23,6,benjamin,muog,302.0,peat place,arlnigton,frankston,4518,nsw,19101008.0,5994946,13593
317,Person 23,6,benjamin,mugo,302.0,peat plcae,arlington,franwton,4510,nsw,19101008.0,5994946,17356
463,Person 23,6,oliver,mugo,302.0,peat place,arlington,frankston,4518,qld,19101008.0,5994946,49863
949,Person 23,6,benjamin,mugo,302.0,arlington,peat place,frankston,4518,nsw,19101008.0,5994946,65871
1585,Person 23,6,benjamin,mugo,302.0,peat place,arlington,frankston,4518,nsw,19101008.0,5994946,8318
4787,Person 23,6,benjamin,mugo,302.0,peat place,,pakenham,4518,nsw,19101008.0,5994946,1436
137,Person 24,6,isabella,runlde,8.0,fawkner street,emerald agrigulural college,pottsville,6154,nsw,,6097070,6413
1743,Person 24,6,isabella,rundle,8.0,fawkner street,emerald agrigultural college,pottsville,6154,nsw,,6097070,26289
2475,Person 24,6,isabella,runudle,8.0,fawkner street,emerald agrigultural college,pottsville,6154,nsw,,6097070,80769
2648,Person 24,6,isabella,rundle,3.0,fawkner street,emerald agrigultural college,pottsville,6154,nsw,,6097070,71147
2668,Person 24,6,isabella,mson,8.0,emerald agriglutural college,fawkner street,pottsville,6154,nsw,,6097070,91070
3579,Person 24,6,isabella,rundle,8.0,fawknerstreet,emerald agrigultural college,pottsvklle,6154,nsw,,6097070,35647
153,Person 25,6,dominxic,flockhart,2.0,oxley street,clear creek,northgate,3000,wa,19890621.0,5173538,52090
155,Person 25,6,dominic,flockhdart,26.0,oxley street,clear creek,northgate,3001,wa,19890621.0,5173538,16022
